,company,role,location,link
0,TBM Technologies Pvt Ltd,Python Developer,"Delhi, India",https://in.linkedin.com/company/tbm-technologies-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
1,Dutos learning private ltd,Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=90c5f51693a98180&bb=fEw70oByBeZvkS0ouiQVCOlDksnhW-ktpfURZZywVpFyozUUAH3ngTizk0YEs3XKMRmC_yCaIfKPf0n8CtPCj2G3ZUYvgf4TzW5HQdfWAFAqaCZFPQF7jkAniSlXNdXi&xkcb=SoDN67M38KK_p0x2Gp0LbzkdCdPP&fccid=2c089ed552e3289b&cmp=Dutos-learning-private-ltd&ti=Python+Developer&vjs=3
2,SpacePe India (RMG),Python/Django Developer,"Dwarka, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=dcd24c371f3565d6&bb=fEw70oByBeZvkS0ouiQVCGVkM5_fRXV7J9zEbd5k-iGkPQo-gamSD5rforU_dquruD0vMrriNQcxmgXskiJupaoRaauIUA8ec8EZINmkgm9fkPH10IkHEDx6SbxVibKv&xkcb=SoB567M38KK_p0x2Gp0KbzkdCdPP&fccid=095ada99070705b2&cmp=Space-India&ti=Python+Developer&vjs=3
3,NeGD,Consultant - Software Developer(Python Developer),"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=addbdeb95c624bef&bb=fEw70oByBeZvkS0ouiQVCJjrHUDAF2s9VRBkQdsnYBh7UCPsXRaHv9Js_c6n_SqzY5nTgvpDms-BEXlkWKvA6N34ggQk-0DQKRuw7kGCK99qp1vMgY9TEo4EP_EYKshA&xkcb=SoDk67M38KK_p0x2Gp0JbzkdCdPP&fccid=e457831f0ffee7b2&vjs=3
4,Ajath Infotech Pvt.Ltd,Artificial Intelligence,"Karol Bagh, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=13db88f269a217aa&bb=fEw70oByBeZvkS0ouiQVCOGlBttqqvFWA2pglYSF54Lub2F3twQ2OLOzJ8slIJdPWLYKIGlWnetZK37PggqTQOkmHkSZYaT_9lIDJuMNhk--87Q1jhmdWM3nMwc_C4Hn&xkcb=SoBQ67M38KK_p0x2Gp0IbzkdCdPP&fccid=e42d5f5f8463eb36&cmp=Ajath-Infotech-Pvt.Ltd&ti=Artificial+Intelligence&vjs=3
5,Aynsoft,Python Developer,Delhi,https://in.indeed.com/rc/clk?jk=2925bcb0653659eb&bb=fEw70oByBeZvkS0ouiQVCGRvbfASFlVpXXEE38RrBp_pDYNxhHkCqIXv59Ueo9h83FEohW-VTCnpUQL8ty3nQeXDrYOod6a3RxYTrhk7qASLxaJjCPcGAKLrNG9gEsrC&xkcb=SoDe67M38KK_p0x2Gp0PbzkdCdPP&fccid=a35615df6ceb9aac&vjs=3
6,BigShyft,Backend Developer - Python,Remote in Delhi,https://in.indeed.com/rc/clk?jk=a0b72286b194e62f&bb=fEw70oByBeZvkS0ouiQVCP4dsr3Dm2izGpIUE0UTSoeFq70HPjwZUoR2mA2webOtjC_QHLYUSr8_Xb_46y-Gn4Z3HlgoDV2EQbQTBkmHHdiDdhZEBk9YH5xL2f_bKVEL&xkcb=SoBq67M38KK_p0x2Gp0ObzkdCdPP&fccid=df4303b9957be85e&vjs=3
7,Roadcast Tech. Solutions Pvt. Ltd.,Python developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=c993239aabc440f4&bb=fEw70oByBeZvkS0ouiQVCNeCmCLgR9CbdYWACzKJtE-7Jk_BOxpQ6dcjonIVMwC0MyyPc9nvmMifB8k6sQXpOZZqueJ8JWjMT-qqaJq7m2ksCQ4g_UvpwcQIcTxLrZeH&xkcb=SoD367M38KK_p0x2Gp0NbzkdCdPP&fccid=fb59ae4606590939&cmp=Roadcast-Tech.-Solutions-Pvt.-Ltd.&ti=Python+Developer&vjs=3
8,RoadCast,Python Developer,Delhi,https://in.indeed.com/rc/clk?jk=8347a1c7b0cc9d58&bb=fEw70oByBeZvkS0ouiQVCEzyvFiLOwoPuJV4EJPb6aBEpxr2r6y-ex4V3MaA3amYWVEYdPGuXkwSZzgmUG2nHwkzE2pH3ErxEFltV5R6kf8g2HgZo6LMCI8-3ht3wdTi&xkcb=SoBD67M38KK_p0x2Gp0MbzkdCdPP&fccid=bc6ef3bef2bf205d&vjs=3
9,Nile Technologies,Python Developer,Delhi,https://in.indeed.com/rc/clk?jk=8b418c9236d35a1a&bb=fEw70oByBeZvkS0ouiQVCN-bgiUZQWYLtSXi99IZZAmv3Fih-TMr-oxI14L8y2SwJZ4Vgsv7jY3-jspHlj0kWqL1LLQj6ccIbvVI7qGN3M5Zt1g5ufGK_8tVgWBgjppX&xkcb=SoCq67M38KK_p0x2Gp0DbzkdCdPP&fccid=cbd2a95569359fc4&vjs=3
10,StarClinch,Python/Django Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=b958df0efbe9d361&bb=fEw70oByBeZvkS0ouiQVCH7RH-qQ_Zx3yH9Q4dvJUyVhufPz80wlH2Ihg4MBHvJS9Eovxd8wEdWkahnSY59mgnDjc6WkTkPWLx8t0oBOmeIYCm03pUSJNLchO5q8Dtsv&xkcb=SoAe67M38KK_p0x2Gp0CbzkdCdPP&fccid=79b17dcef3639efe&vjs=3
11,AbroadWorks Inc.,Senior Technical Lead,Remote in India,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DMCgnC-sc5A_coEC9gamUnVJh4vaY5MHcBhLbUvmG62zYsKAijsAg_J_uSp3QQz8wIWNKQf6HLFgTIYzxhPF3IxqjdsqWndQvGgHeRXUWNfY-1PLujuGvurGALDSiHK8Yejl5qwxciHPOLsu35rh5He8lccY0_nOpPHEfcXZu_TNBckbFdgSCvF0Ssg6iaa63zMZtmvnNvs3IPNgYdmv9d89QyVZ7YNYQCzmKGJARYIGAiGS0OuN0g4AtAopZfqBSdHpjtibEgoGd0udGfSOoJ8NAgY7LHisNCXdiRMabmU-YXWp-r3EEey0u-5QXqoRbnvPw2crJcGs3iOn8Enh1dzkeiBeb5446tYeemWhcqRM9WSCVXA90fSQHFLtEVR6EBQ-J26Ikno6qHZBqZenEYnLm9tyxqPgvbZ44PMxdJJhIU07uScKzwrZDWwVDvUJzwLgutI98VWPEgTm1fQxoRC0-U_gDE6Q0Zd_t-p8Ec8VhqZOywxB0GdFotuAKDPexzM3nw_ADUdWi8UdS7117GGPVrLi65agZfN86RHuC4VZf1bR4cWtQanMkqeKsMe_8mowDt4CmUIu2UGdsATfpofhoa612r4sVgHqSr_IL469iHH2mWX3JCMJwuMYvbi4Qynar_2JkH6U-nYn4NupsQAWoUknwI7a0itgO-OMys7aCWEHNFA3Fg8TYeu5Y4rpSO0AGz4uLZb2dYVzZ-RO3cki8ZyhzfkWJYRxPAUICpBg==&xkcb=SoB36_M38KK_p0x2Gp0BbzkdCdPP&camk=nUmJqO2E8rgwLsndL81YOg==&p=10&fvj=1&vjs=3
12,Notmuch,Senior Software Developer,"Remote in Connaught Place, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2edaafa424774d61&bb=fEw70oByBeZvkS0ouiQVCLxs08KunYqLuaPzlMsvo3y-r68txwYrnot-9A13mlsTsPmkHKB7t_WvbHR_A3Wa3Qx0L8oyKN7dO3aTCMhyx0AFcaX7TanzzElLb7L-JMUw&xkcb=SoA367M38KK_p0x2Gp0AbzkdCdPP&fccid=50e7f845579d5012&cmp=notmuch&ti=Senior+Software+Engineer&vjs=3
13,Surepass Technologies,Junior Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=f6eb3655027e850c&bb=fEw70oByBeZvkS0ouiQVCFg1Yza4y43mVHld82qJYvnjEPj3rnkFQsTvjr4xp0s_gGn-_JFDKTfu-2M1bEBubC1ADMwjWe3c_vLDgIG11KpJne-wFFEEko5t2pj2Rwyb&xkcb=SoC567M38KK_p0x2Gp0HbzkdCdPP&fccid=f40aa5e2d23f457d&cmp=Surepass-Technologies&ti=Junior+Python+Developer&vjs=3
14,Parahit Technologies,Python Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=54cc0b0855c81cfa&bb=fEw70oByBeZvkS0ouiQVCK-nYFkHGdEOK_-Z9ioj5pfnFya1E-2e2OXwTp0TYjxiFVxA7163oCapjbStBmpM0el-Cinyw7UaTaUzSgyeoGpy0FrSyGYe2D_Ic6T6In4q&xkcb=SoAN67M38KK_p0x2Gp0GbzkdCdPP&fccid=c45d3fb18b575bf4&vjs=3
15,TIMBLE TECHNOLOGIES PVT LTD,Django Developer,"Safdarjung Enclave, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=9702a44f84471ca9&bb=fEw70oByBeZvkS0ouiQVCEW1Nv71RdtSn176PEgDof_HshPRpXZVR5d5m_JdbCBiqz24TfUqjPb_tMGC7Uu_IMO7hv9qVQ9rKcyh5ke_bf9E-8w4Z-Kza-aQSXcKsjU-&xkcb=SoCQ67M38KK_p0x2Gp0FbzkdCdPP&fccid=e860eb8ae861f3d1&cmp=TIMBLE-TECHNOLOGIES-PVT-LTD&ti=Developer&vjs=3
16,IOTFY Solutions Private Limited,Full Stack Developer,"Dwarka, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=9cc79c8749c871ba&bb=d4AQ6oVVT2htvFbd2l1aY9vPT9WUcXsacWwmbR_cA_2_CQf81cirtqQo5-5E5BWc46SLCJmk2a-sGh3HgM5N8MNh94JjS3stD_kTrCShcbM_BMDHd7tPbVbLdZ2y4i4H&xkcb=SoBZ67M38KK-A4W2th0LbzkdCdPP&fccid=88fb88fd4704e185&cmp=IOTFY-Solutions-Private-Limited&ti=Full+Stack+Developer&vjs=3
